 ,Name,Space,Likeability,Newness,Necessity,Organize Living,Organize Stress,Organize Satisfaction,Throw Living,Throw Stress,Throw Satisfaction,Dialog 01 Name,Dialog 02 Space,Dialog 03 Newness,Dialog 04 Necessity,Dialog 05 Likability,Dialog 06 Organize Stress,Dialog 07 Organize Living,Dialog 08 Organize Satisfaction,Dialog 09 Throw Stress,Dialog 10 Throw Living,Dialog 11 Throw Satisfaction,,,
1,radio,6,3,2,2,-4,0,-1,6,-1,2,radio, ,I have kept it for very long time,I don't really need it,I don't really care about it,better,much worse...,I guess this is going ok...,better,very organized,Thanks!,,,
2,box of children's toys,7,7,6,9,5,-7,9,0,4,0,box of children's toys,it is big,I got it about a year ago,I use it almost every day,I love it.,much better,organized,Thank you so much!,a little bit stressed,a little worse...,I guess this is going ok...,,,
3,board games,6,9,6,8,5,-7,9,0,6,-1,board games, ,I got it about a year ago,I use it almost every day,I love it.,much better,organized,Thank you so much!,stressed out,a little worse...,I guess this is going ok...,,,
4,cassette tapes,3,7,2,5,-1,-3,3,2,4,-1,cassette tapes,it is small,I have kept it for very long time,I use it every once in a while,I love it.,better,a little worse...,Thanks!,a little bit stressed,organized,I guess this is going ok...,,,
5,cd player,6,8,7,7,5,-6,8,1,5,-1,cd player, ,I got it very recently,I use it almost every day,I love it.,much better,organized,Thank you so much!,a little bit stressed,organized,I guess this is going ok...,,,
6,bedside lamp,5,7,6,8,5,-6,7,0,5,-1,bedside lamp, ,I got it about a year ago,I use it almost every day,I love it.,much better,organized,Thank you so much!,a little bit stressed,a little worse...,I guess this is going ok...,,,
7,decorative pillows,7,9,6,5,3,-5,7,4,4,0,decorative pillows,it is big,I got it about a year ago,I use it every once in a while,I love it.,much better,organized,Thank you so much!,a little bit stressed,organized,I guess this is going ok...,,,
8,blanket,7,9,6,6,4,-6,8,3,4,0,blanket,it is big,I got it about a year ago,I use it every once in a while,I love it.,much better,organized,Thank you so much!,a little bit stressed,organized,I guess this is going ok...,,,
9,vase,5,4,6,4,1,-2,2,4,2,0,vase, ,I got it about a year ago,I use it every once in a while,I kinda like it,better,organized,Thanks!,a little bit stressed,organized,I guess this is going ok...,,,
10,goose statue 1,3,8,8,4,3,-4,4,3,7,-3,goose statue 1,it is small,I got it very recently,I use it every once in a while,I love it.,much better,organized,Thanks!,stressed out,organized,I guess this is going ok...,,,
11,hand mirror,3,5,8,6,4,-4,3,1,6,-2,hand mirror,it is small,I got it very recently,I use it every once in a while,I kinda like it,much better,organized,Thanks!,stressed out,organized,I guess this is going ok...,,,
12,decorative doll,5,5,5,3,0,-2,1,5,2,0,decorative doll, ,I got it about a year ago,I don't really need it,I kinda like it,better,a little worse...,Thanks!,a little bit stressed,organized,I guess this is going ok...,,,
13,family photo,2,9,9,7,7,-6,6,0,10,-4,family photo,it is small,I got it very recently,I use it almost every day,I love it.,much better,very organized,Thank you so much!,stressed out,a little worse...,I wouldn't have done that myself...,,,
14,doiley,1,5,5,3,0,-1,-1,3,5,-2,doiley,it is small,I got it about a year ago,I don't really need it,I kinda like it,better,a little worse...,I guess this is going ok...,a little bit stressed,organized,I guess this is going ok...,,,
15,angel statue,3,4,5,3,-1,-1,0,4,3,-1,angel statue,it is small,I got it about a year ago,I don't really need it,I kinda like it,better,a little worse...,I guess this is going ok...,a little bit stressed,organized,I guess this is going ok...,,,
16,cards,1,8,9,3,3,-3,2,3,9,-4,cards,it is small,I got it very recently,I don't really need it,I love it.,better,organized,Thanks!,stressed out,organized,I wouldn't have done that myself...,,,
17,goose statue 2,3,9,5,3,1,-3,3,4,6,-3,goose statue 2,it is small,I got it about a year ago,I don't really need it,I love it.,better,organized,Thanks!,stressed out,organized,I guess this is going ok...,,,
18,snow globe,2,4,5,2,-1,0,-2,4,4,-1,snow globe,it is small,I got it about a year ago,I don't really need it,I kinda like it,better,a little worse...,I guess this is going ok...,a little bit stressed,organized,I guess this is going ok...,,,
19,basket of pens,4,2,2,1,-5,1,-3,6,-1,1,basket of pens, ,I have kept it for very long time,I don't really need it,I don't really care about it,a little bit stressed,much worse...,I guess this is going ok...,better,very organized,Thanks!,,,
20,pen and notepad,2,4,5,8,3,-4,3,-2,5,-2,pen and notepad,it is small,I got it about a year ago,I use it almost every day,I kinda like it,much better,organized,Thanks!,a little bit stressed,a little worse...,I guess this is going ok...,,,
21,empty perfume bottle,2,3,2,2,-4,0,-3,4,2,0,empty perfume bottle,it is small,I have kept it for very long time,I don't really need it,I don't really care about it,better,much worse...,I guess this is going ok...,a little bit stressed,organized,I guess this is going ok...,,,
22,cup of pens,2,4,2,2,-4,0,-2,4,2,-1,cup of pens,it is small,I have kept it for very long time,I don't really need it,I kinda like it,better,much worse...,I guess this is going ok...,a little bit stressed,organized,I guess this is going ok...,,,
23,newspapers,6,2,1,1,-5,1,-2,7,-3,3,newspapers, ,I have kept it for very long time,I don't really need it,I don't really care about it,a little bit stressed,much worse...,I guess this is going ok...,better,very organized,Thanks!,,,
24,paperweight,1,2,2,1,-5,2,-5,5,2,-1,paperweight,it is small,I have kept it for very long time,I don't really need it,I don't really care about it,a little bit stressed,much worse...,I wouldn't have done that myself...,a little bit stressed,organized,I guess this is going ok...,,,
25,box of crackers,2,2,5,7,2,-3,1,-1,4,-1,box of crackers,it is small,I got it about a year ago,I use it almost every day,I don't really care about it,better,organized,Thanks!,a little bit stressed,a little worse...,I guess this is going ok...,,,
26,jar of nuts,3,3,5,7,2,-4,2,0,4,-1,jar of nuts,it is small,I got it about a year ago,I use it almost every day,I don't really care about it,much better,organized,Thanks!,a little bit stressed,a little worse...,I guess this is going ok...,,,
27,empty plastic bags,5,1,5,2,-2,0,-2,6,0,2,empty plastic bags, ,I got it about a year ago,I don't really need it,I don't really care about it,better,a little worse...,I guess this is going ok...,better,very organized,Thanks!,,,
28,hanging decoration,1,4,5,2,-1,0,-3,4,4,-2,hanging decoration,it is small,I got it about a year ago,I don't really need it,I kinda like it,better,a little worse...,I guess this is going ok...,a little bit stressed,organized,I guess this is going ok...,,,
29,canned foods,4,3,5,7,2,-4,3,0,3,0,canned foods, ,I got it about a year ago,I use it almost every day,I don't really care about it,much better,organized,Thanks!,a little bit stressed,a little worse...,I guess this is going ok...,,,
30,fridge magnets,1,1,6,2,-1,1,-5,4,3,-1,fridge magnets,it is small,I got it about a year ago,I don't really need it,I don't really care about it,a little bit stressed,a little worse...,I wouldn't have done that myself...,a little bit stressed,organized,I guess this is going ok...,,,
31,wrapping paper,7,4,1,5,-2,-3,3,3,-1,2,wrapping paper,it is big,I have kept it for very long time,I use it every once in a while,I kinda like it,better,a little worse...,Thanks!,better,organized,Thanks!,,,
32,vase with fake flowers,6,4,1,1,-5,0,-1,7,-2,2,vase with fake flowers, ,I have kept it for very long time,I don't really need it,I kinda like it,better,much worse...,I guess this is going ok...,better,very organized,Thanks!,,,
